,0.741497,0.831651
205,1.25016,9.81456
206,1.1778,9.801
207,1.34608,9.67584
208,1.10815,9.46404
209,1.05662,9.24146
210,1.04324,9.24343
211,1.22077,9.30157
212,0.967431,9.23551
213,1.25622,9.04558
214,1.50186,9.67558
215,1.83037,10.497
216,1.24817,10.3668
217,1.34223,10.9801
218,1.25559,10.7429
219,1.19511,10.9999
220,1.3835,10.0706
221,1.25515,10.273
222,1.21736,10.6512
223,1.10792,10.9683
224,1.03869,10.9002
225,1.02296,10.8214
226,1.07227,10.5414
227,1.11338,10.9437
228,1.31117,10.8969
229,1.79985,10.206
230,1.12404,10.9305
231,1.29241,10.724
232,1.21324,10.2245
233,1.28391,12.5067
234,1.26139,12.4181
235,1.22908,12.9089
236,1.19471,12.201
237,1.34907,13.7797
238,1.32954,13.4166
239,1.33444,13.6519
240,1.36783,13.9789
241,1.40677,13.7158
242,1.43524,13.2335
243,1.40648,13.5565
244,1.33477,13.0175
245,1.37803,13.78
246,1.40083,13.6382
247,1.31027,13.6586
248,1.24232,13.3334
249,1.38147,13.6612
250,1.39518,13.2098
251,1.47345,13.3171
252,1.65359,13.0553
253,1.40379,13.4454
254,1.29142,13.5635
255,1.18934,13.758
256,1.14757,13.984
257,1.19857,13.6251
258,1.42608,13.2029
259,1.37123,14.0593
260,1.59223,14.6302
261,1.36881,14.4715
262,1.36519,14.9151
263,1.40151,14.263
264,1.4531,14.8977
265,1.46667,14.5233
266,1.39584,14.7529
267,1.25651,14.6619
268,1.45562,16.4774
269,1.5556,16.1743
270,1.44326,16.921
271,1.41792,16.5369
272,1.41899,16.3059
273,1.39856,16.4253
274,1.43895,16.9655
275,1.49791,16.2994
276,1.35014,16.8495
277,1.61044,16.962
278,1.44655,16.5255
279,1.28578,16.1242
280,1.29826,16.2173
281,1.37105,16.6848
282,1.36667,16.5479
283,1.39055,16.7614
284,1.43405,16.8823
285,1.44092,16.37
286,1.57307,16.6176
287,1.39263,16.752
288,1.39584,16.8473
289,3.53198,16.9971
290,1.38852,17.0397
291,1.42848,17.0972
292,1.62182,17.9159
293,1.49246,17.3444
294,1.43082,17.6289
295,1.47611,17.9513
296,1.46262,17.7864
297,1.49045,17.443
298,1.3485,17.9371
299,1.31946,17.731
300,1.63989,17.6987
301,1.14897,17.2614
302,1.1193,17.1664
303,2.24493,17.4735
304,1.53256,18.3598
305,1.54641,18.1636
306,1.41156,18.0112
307,1.44029,18.1026
308,1.40711,18.3598
309,1.51883,18.4546
310,1.51435,18.4061
311,1.78524,19.9914
312,1.56903,19.0333
313,1.84212,19.9291
314,1.68582,19.4885
315,1.61901,19.7544
316,1.50891,19.8
317,1.54893,20.5595
318,1.59523,20.4651
319,1.55473,20.8738
320,1.61349,20.8502
321,1.55856,20.8245
322,1.55681,20.9511
323,1.55446,20.2722
324,1.56366,20.2217
325,1.48799,20.352
326,1.64288,20.5819
327,1.6679,20.4234
328,1.55094,20.1127
329,1.56792,20.3589
330,1.66583,20.9205
331,1.56613,20.4624
332,1.83776,20.0304
333,1.67825,20.4509
334,1.7032,20.171
335,1.8418,20.3003
336,2.01595,20.8155
337,2.03334,20.3624
338,1.56333,20.3845
339,1.54486,21.3963
340,1.67251,21.7247
341,1.6208,21.1082
342,1.31208,21.1005
343,1.98375,26.5264
344,1.84209,26.8331
345,2.22894,26.0496
346,2.36449,26.022
347,2.08912,26.0501
348,1.92841,26.2844
349,2.1798,26.3375
350,2.03788,26.9314
351,1.95843,26.4527
352,2.3748,26.2305
353,2.00512,26.7812
354,2.53741,26.0158
355,2.41557,26.1162
356,1.708,26.4468
357,1.76176,26.6407
358,0.993446,26.7244
359,2.15375,26.295
360,1.4878,26.5231
361,1.45287,26.112
362,1.8761,27.0151
363,1.65148,27.3447
364,1.75994,27.2263
365,1.79663,27.829
366,1.66374,27.5404
367,2.01072,27.0103
368,1.75113,27.2129
369,1.93407,27.0147
370,1.70454,27.8387
371,1.58739,27.3795
372,1.56555,27.9177
373,1.71235,27.2339
374,1.60627,27.092
375,1.57852,27.901
376,1.61305,27.7172
377,1.61052,28.689
378,1.68271,28.3886
379,1.6596,28.2454
380,1.62851,28.2919
381,1.69769,28.9673
382,1.66081,28.8738
383,1.63205,28.7676
384,1.66524,28.4901
385,1.67245,28.3732
386,1.70991,28.8787
387,1.61141,28.7081
388,1.67395,28.2734
389,1.5883,28.3405
390,1.77833,29.5261
391,1.68537,29.1963
392,1.68238,29.2014
393,1.74814,29.6223
394,1.90037,29.9676
395,1.77541,29.6378
396,1.71845,34.8195
397,1.62092,34.084
398,1.70721,34.7913
399,1.71914,34.8435
400,1.74824,34.8775
401,1.587,34.8471
402,1.59688,34.7943
403,2.28838,34.3635
404,1.72496,34.8699
405,1.72266,34.8344
406,1.55523,34.0026
407,1.59767,34.1256
408,1.71741,34.85
409,1.71783,34.2954
410,1.7412,34.8564
411,1.87009,34.3601
412,1.82066,34.1787
413,1.72157,34.7044
414,1.85783,34.3871
415,1.71582,34.8937
416,1.55654,34.8057
417,1.81472,34.3552
418,1.78313,35.0987
419,1.73365,35.2952
420,1.78315,35.0463
421,1.83768,35.1474
422,1.63454,35.0239
423,1.7267,35.7515
424,1.73724,35.2078
425,1.8834,35.2784
426,1.6894,35.7045
427,1.74561,35.3023
428,1.65935,35.6322
429,1.71304,35.7868
430,1.50108,35.7012
431,1.51747,35.6191
432,1.66529,35.44
433,1.80347,35.1226
434,1.58142,36.2037
435,1.67205,36.538
436,1.65558,36.8388
437,1.67446,36.6405
438,1.65984,36.596
439,1.69193,36.4438
440,1.55429,36.7834
441,1.64331,36.7351
442,1.6003,38.3776
443,1.42402,38.7547
444,1.41909,38.152
445,1.64659,38.9383
446,1.62119,38.8935
447,1.70701,38.7866
448,1.68524,38.7084
449,1.58246,38.3378
450,1.67179,38.6887
451,1.7489,38.5678
452,1.95858,38.1408
453,1.79623,38.6954
454,1.87617,38.663
455,1.58214,38.3216
456,1.60066,38.3789
457,1.86585,38.3267
458,1.50765,38.4771
459,1.62149,38.6068
460,1.61063,38.4082
461,2.07128,38.5936
462,1.68616,38.6184
463,1.77287,38.218
464,1.81759,38.6578
465,1.84572,38.5151
466,1.7287,38.565
467,1.6065,38.6552
468,1.7521,38.562
469,1.62516,38.899
470,1.71625,39.0729
471,1.76373,39.652
472,1.80458,39.8889
473,1.76451,39.7846
474,1.62228,39.5328
475,1.57306,39.2871
476,1.62866,39.386
477,1.77746,39.7254
478,1.78817,39.7532
479,1.80322,39.793
480,1.68693,39.0169
481,1.39003,39.2463
482,1.49492,39.5275
483,1.89842,39.844
484,1.72348,39.2259
485,1.65995,39.747
486,1.7994,39.9881
487,1.72646,39.2174
488,1.75742,39.2028
489,1.76949,39.8779
490,1.60434,39.4407
491,1.71247,39.7482
492,1.73388,39.2314
493,1.69897,39.0123
494,1.72559,39.0624
495,1.74977,39.7966
496,1.8526,40.6885
497,1.81445,40.5106
498,1.79633,40.8686
499,1.78052,40.5044
500,1.7677,40.4613
501,1.83235,40.9651
502,1.75861,40.6093
503,1.67323,40.2105
504,1.75066,40.5822
505,1.49691,42.788
506,1.39274,42.6855
507,2.14007,42.6204
508,1.80886,42.9239
509,2.00027,42.4729
510,1.88465,42.0416
511,1.84158,42.3302
512,2.19222,42.753
513,1.38842,42.7808
514,1.38918,42.7864
515,1.78349,42.8926
516,1.70024,42.7769
517,1.59851,42.3816
518,1.71188,42.9971
519,1.82844,42.9823
520,2.61123,42.8532
521,1.79179,42.8852
522,2.35548,43.123
523,1.50462,43.1692
524,1.56019,43.9139
525,0.834201,43.7939
526,1.64142,43.7713
527,1.57331,43.1681
528,1.57205,43.4768
529,1.79756,43.2832
530,1.51575,43.7064
531,1.47753,43.193
532,1.5299,43.5415
533,1.53187,43.5755
534,1.57517,43.5603
535,1.46254,43.1266
536,1.52824,43.4395
537,1.53832,43.7558
538,1.53672,43.2389
539,1.50597,43.2363
540,1.62924,43.2792
541,1.55774,43.8669
542,1.51813,43.3644
543,1.53224,43.5421
544,1.5388,43.7195
545,1.74217,43.2289
546,1.70823,43.1984
547,1.49287,44.7406
548,1.80204,44.5186
549,1.62298,44.9171
550,1.45374,44.5188
551,1.25722,44.8779
552,1.73757,44.5992
553,1.64337,44.4348
554,1.50336,44.8682
555,1.48095,44.7116
556,1.70698,44.9125
557,3.43478,44.5247
558,3.03886,44.2906
559,1.58636,44.5805
560,1.48166,45.181
561,1.57382,45.6046
562,1.65966,45.6994
563,1.53276,45.4314
564,1.57144,45.5268
565,1.542,45.0171
566,1.52229,45.11
567,1.52801,45.2087
568,1.59666,45.4322
569,1.59152,45.4051
570,1.49202,45.1911
571,1.72887,45.3304
572,1.64539,45.4407
573,1.54724,45.307
574,1.6678,45.7527
575,1.46463,45.1267
576,1.78966,45.2362
577,1.52426,45.6187
578,1.78119,47.1979
579,1.84836,47.4884
580,1.56803,47.7708
581,1.57525,47.8024
582,1.50975,47.3678
583,1.77612,47.3845
584,1.56955,47.3182
585,1.79708,47.7797
586,2.02665,47.6933
587,1.51756,47.2265
588,1.58856,47.5195
589,1.53645,47.442
590,1.68372,47.6849
591,1.57841,47.1549
592,1.73799,47.5506
593,1.58175,47.4738
594,1.52428,47.0713
595,1.97535,47.2523
596,1.79528,47.0875
597,2.48324,47.6656
598,1.71493,47.4285
599,1.60274,47.1403
600,2.02016,47.1154
601,1.80779,47.1582
602,1.52991,47.4888
603,1.63054,47.5122
604,1.68593,47.4559
605,1.61049,48.0371
606,1.65003,48.0164
607,1.45698,48.6405
608,1.61859,48.1025
609,1.54977,48.8332
610,1.76583,48.9437
611,1.57648,48.3751
612,1.59335,48.0709
613,1.6544,48.1264
614,1.61397,48.1308
615,1.69251,48.532
616,1.61656,48.0667
